id,PredictionString
00188a671292_study,negative 0.879379 0 0 1 1 typical 0.249736 0 0 1 1 indeterminate 0.343319 0 0 1 1 atypical 0.207575 0 0 1 1
004bd59708be_study,negative 0.018285 0 0 1 1 typical 0.958694 0 0 1 1 indeterminate 0.233737 0 0 1 1 atypical 0.133132 0 0 1 1
00508faccd39_study,negative 0.859390 0 0 1 1 typical 0.252416 0 0 1 1 indeterminate 0.361373 0 0 1 1 atypical 0.231959 0 0 1 1
006486aa80b2_study,negative 0.468743 0 0 1 1 typical 0.636079 0 0 1 1 indeterminate 0.497796 0 0 1 1 atypical 0.312415 0 0 1 1
00655178fdfc_study,negative 0.629100 0 0 1 1 typical 0.409464 0 0 1 1 indeterminate 0.518219 0 0 1 1 atypical 0.389485 0 0 1 1
00a81e8f1051_study,negative 0.786591 0 0 1 1 typical 0.331762 0 0 1 1 indeterminate 0.418584 0 0 1 1 atypical 0.282813 0 0 1 1
00be7de16711_study,negative 0.357573 0 0 1 1 typical 0.639129 0 0 1 1 indeterminate 0.550757 0 0 1 1 atypical 0.382252 0 0 1 1
00c7a3928f0f_study,negative 0.835250 0 0 1 1 typical 0.303394 0 0 1 1 indeterminate 0.386586 0 0 1 1 atypical 0.235264 0 0 1 1
00d63957bc3a_study,negative 0.769214 0 0 1 1 typical 0.461602 0 0 1 1 indeterminate 0.375336 0 0 1 1 atypical 0.187953 0 0 1 1
0107f2d291d6_study,negative 0.741857 0 0 1 1 typical 0.365300 0 0 1 1 indeterminate 0.443330 0 0 1 1 atypical 0.308556 0 0 1 1
0154653179fa_study,negative 0.194109 0 0 1 1 typical 0.326305 0 0 1 1 indeterminate 0.453989 0 0 1 1 atypical 0.789114 0 0 1 1
015f89ec55ea_study,negative 0.692920 0 0 1 1 typical 0.394311 0 0 1 1 indeterminate 0.469444 0 0 1 1 atypical 0.358054 0 0 1 1
0241bc13eac6_study,negative 0.541573 0 0 1 1 typical 0.497924 0 0 1 1 indeterminate 0.528036 0 0 1 1 atypical 0.414165 0 0 1 1
025bfc117ff8_study,negative 0.012367 0 0 1 1 typical 0.972326 0 0 1 1 indeterminate 0.202472 0 0 1 1 atypical 0.104523 0 0 1 1
028abd3504b6_study,negative 0.308026 0 0 1 1 typical 0.767189 0 0 1 1 indeterminate 0.476857 0 0 1 1 atypical 0.284095 0 0 1 1
02ee3a9820eb_study,negative 0.038035 0 0 1 1 typical 0.902209 0 0 1 1 indeterminate 0.319808 0 0 1 1 atypical 0.245676 0 0 1 1
0321bb7f84b5_study,negative 0.949704 0 0 1 1 typical 0.152914 0 0 1 1 indeterminate 0.240084 0 0 1 1 atypical 0.120903 0 0 1 1
03e0a59d9b8a_study,negative 0.207615 0 0 1 1 typical 0.771460 0 0 1 1 indeterminate 0.505283 0 0 1 1 atypical 0.317137 0 0 1 1
03fc9ec0dba8_study,negative 0.966486 0 0 1 1 typical 0.109409 0 0 1 1 indeterminate 0.204005 0 0 1 1 atypical 0.101142 0 0 1 1
045783dbe7d1_study,negative 0.350953 0 0 1 1 typical 0.697906 0 0 1 1 indeterminate 0.511703 0 0 1 1 atypical 0.328620 0 0 1 1
04c42f33c006_study,negative 0.234626 0 0 1 1 typical 0.589092 0 0 1 1 indeterminate 0.519509 0 0 1 1 atypical 0.559436 0 0 1 1
04c4e92d40b8_study,negative 0.353611 0 0 1 1 typical 0.685833 0 0 1 1 indeterminate 0.517088 0 0 1 1 atypical 0.340788 0 0 1 1
04d0f88f790a_study,negative 0.062097 0 0 1 1 typical 0.898848 0 0 1 1 indeterminate 0.350813 0 0 1 1 atypical 0.236744 0 0 1 1
059007b73d82_study,negative 0.947232 0 0 1 1 typical 0.159102 0 0 1 1 indeterminate 0.238618 0 0 1 1 atypical 0.113840 0 0 1 1
05ce6249b5c0_study,negative 0.066205 0 0 1 1 typical 0.870399 0 0 1 1 indeterminate 0.379433 0 0 1 1 atypical 0.289139 0 0 1 1
05f22f0c2412_study,negative 0.923817 0 0 1 1 typical 0.194012 0 0 1 1 indeterminate 0.277654 0 0 1 1 atypical 0.152722 0 0 1 1
061969abb8a5_study,negative 0.192790 0 0 1 1 typical 0.811141 0 0 1 1 indeterminate 0.353005 0 0 1 1 atypical 0.256150 0 0 1 1
063ee1363644_study,negative 0.506780 0 0 1 1 typical 0.551802 0 0 1 1 indeterminate 0.522200 0 0 1 1 atypical 0.385667 0 0 1 1
06d315ac12ff_study,negative 0.039649 0 0 1 1 typical 0.941193 0 0 1 1 indeterminate 0.280899 0 0 1 1 atypical 0.155911 0 0 1 1
06fa49182629_study,negative 0.532658 0 0 1 1 typical 0.530265 0 0 1 1 indeterminate 0.533464 0 0 1 1 atypical 0.346957 0 0 1 1
070d030a9ff7_study,negative 0.293517 0 0 1 1 typical 0.701063 0 0 1 1 indeterminate 0.525954 0 0 1 1 atypical 0.371699 0 0 1 1
07467db0a5ae_study,negative 0.906410 0 0 1 1 typical 0.177647 0 0 1 1 indeterminate 0.307311 0 0 1 1 atypical 0.204728 0 0 1 1
074763143b55_study,negative 0.934674 0 0 1 1 typical 0.192003 0 0 1 1 indeterminate 0.266556 0 0 1 1 atypical 0.126878 0 0 1 1
07bac22f0a34_study,negative 0.018442 0 0 1 1 typical 0.975353 0 0 1 1 indeterminate 0.190041 0 0 1 1 atypical 0.082720 0 0 1 1
080ea6634d62_study,negative 0.678165 0 0 1 1 typical 0.373739 0 0 1 1 indeterminate 0.490952 0 0 1 1 atypical 0.363208 0 0 1 1
0816f9d3875e_study,negative 0.040062 0 0 1 1 typical 0.952917 0 0 1 1 indeterminate 0.267723 0 0 1 1 atypical 0.121722 0 0 1 1
0838c0a2c424_study,negative 0.911547 0 0 1 1 typical 0.231721 0 0 1 1 indeterminate 0.302887 0 0 1 1 atypical 0.146018 0 0 1 1
0843b8e9ca34_study,negative 0.242089 0 0 1 1 typical 0.793990 0 0 1 1 indeterminate 0.470825 0 0 1 1 atypical 0.290325 0 0 1 1
0847751da0f7_study,negative 0.276129 0 0 1 1 typical 0.738717 0 0 1 1 indeterminate 0.425188 0 0 1 1 atypical 0.315927 0 0 1 1
08cc9af3edf8_study,negative 0.747367 0 0 1 1 typical 0.346180 0 0 1 1 indeterminate 0.472848 0 0 1 1 atypical 0.288264 0 0 1 1
096601e1340d_study,negative 0.122584 0 0 1 1 typical 0.869226 0 0 1 1 indeterminate 0.421150 0 0 1 1 atypical 0.220228 0 0 1 1
098be79259d5_study,negative 0.065081 0 0 1 1 typical 0.928096 0 0 1 1 indeterminate 0.319018 0 0 1 1 atypical 0.163663 0 0 1 1
0992f862466e_study,negative 0.106110 0 0 1 1 typical 0.791164 0 0 1 1 indeterminate 0.437599 0 0 1 1 atypical 0.374618 0 0 1 1
0a50336ef885_study,negative 0.050552 0 0 1 1 typical 0.912885 0 0 1 1 indeterminate 0.318744 0 0 1 1 atypical 0.224782 0 0 1 1
0ac42f524362_study,negative 0.646070 0 0 1 1 typical 0.375338 0 0 1 1 indeterminate 0.490984 0 0 1 1 atypical 0.437898 0 0 1 1
0b1d3c1abed3_study,negative 0.085138 0 0 1 1 typical 0.881587 0 0 1 1 indeterminate 0.374002 0 0 1 1 atypical 0.257963 0 0 1 1
0b1f60821d8f_study,negative 0.058919 0 0 1 1 typical 0.917644 0 0 1 1 indeterminate 0.333036 0 0 1 1 atypical 0.199937 0 0 1 1
